name,spelling
LIVST,Liverpool Street
STFD,Stratford
SHENFLD,Shenfield
CHLMSFD,Clemsford 
CLCHSTR,colchester
MANNGTR,manningtree
IPSWICH,ipswich 
STWMRKT,stowmarket 
DISS,DISS 
HAGHLYJ,haughley 
LIVST,LIVST
STFD,STFD
SHENFLD,SHENFLD
CHLMSFD,CHLMSFD
CLCHSTR,CLCHSTR
MANNGTR,MANNGTR
IPSWICH,IPSWICH
STWMRKT,STWMRKT
DISS,DISS
HAGHLYJ,HAGHLYJ
LIVST,liverpol stret
STFD,strtfod
SHENFLD,shenfild
CHLMSFD,chelmsfod
CLCHSTR,colchstr
MANNGTR,maningtree
IPSWICH,ipswitch
STWMRKT,stowmarkt
DISS,dis
HAGHLYJ,haughly
